%all orbits URLs are invalid! not validating urls' time ranges until they expire.%,all orbits URLs are invalid! not validating urls' time ranges until they expire.
%DFU device connection error: exit status %,DFU device connection error
%ERROR: Failed to download upgrade.sh%,ERROR: Failed to download upgrade.sh
%error running sahara EDL reset%,error running sahara EDL reset
%error updating to initial params: bad status%,error updating to initial params: bad status
%Escalating problem to reboot%,Escalating problem to reboot
%Excessive ObjStats reported over past 5 minutes%,Excessive ObjStats reported over past 5 minutes
%extra large bendix ingress blob%,extra large bendix ingress blob
%Failed to read ADC%,Failed to read ADC
%failed to read hardware cable id%,failed to read hardware cable id
%failed to reset modem%,failed to reset modem
%FirmwareMetricsClient dropped metrics since last report:%,FirmwareMetricsClient dropped metrics since last report
"%heDetector: error: dropping accelEventData, too large%","heDetector: error: dropping accelEventData, too large"
%heMuxer: Error: Ignoring haAccel event%,heMuxer: Error: Ignoring haAccel event
%heMuxer: Error: Ignoring haBraking event%,heMuxer: Error: Ignoring haBraking event
%heMuxer: Error: Ignoring haCrash event%,heMuxer: Error: Ignoring haCrash event
%heMuxer: Error: Ignoring haSharpTurn event%,heMuxer: Error: Ignoring haSharpTurn event
%/home/root is %full%,/home/root is almost full
%is stuck in DFU mode%,USB device is stuck in DFU mode and requires manual upgrade
%logProcessBatch err:%,logProcessBatch err
%MCU FATAL_REASON_ASSERT_APP%,MCU FATAL_REASON_ASSERT_APP -sum total
%MCU FATAL_REASON_CPU_EXCEPTION%,MCU FATAL_REASON_CPU_EXCEPTION -sum total
%mcuUpgrade: failed to send upgrade chunk%,mcuUpgrade: failed to send upgrade chunk
%mcuUpgrade: libusb: %,mcuUpgrade: libusb error
%mcuUpgrade: offset mismatch%,mcuUpgrade: offset mismatch
"%mcuUpgrade: Received %, expected sync byte%",mcuUpgrade: expected sync byte
%No gps data for %s. Rebooting.%,"No gps data, rebooting"
%No hub connection for%,"No hub connection, rebooting"
%no such file or directory%usb lock:%,usb lock error: no such file or directory
%panic: accel_manager: Reconfigure failed: Failed to read WHO_AM_I register%,panic: accel_manager: Reconfigure failed: Failed to read WHO_AM_I register
%panic: accel_manager: Reconfigure failed: Invalid variant found%,panic: accel_manager: Reconfigure failed: Invalid variant found
%panic: accel_manager: Reconfigure failed: % transport endpoint is not connected%,panic: accel_manager: Reconfigure failed: transport endpoint is not connected
%panic: accel_manager: watchdog timeout%,panic: accel_manager watchdog timeout
%panic: AddClient after shutdown!%,panic: AddClient after shutdown!
%panic: Cellular data manager watchdog timeout%,panic: Cellular data manager watchdog timeout
%panic: chip tca6416 not found%,panic: chip tca6416 not found
%panic: close of closed channel%,panic: close of closed channel
%panic: close of nil channel%,panic: close of nil channel
%panic: dashcam manager hung%,panic dashcam manager hung
%panic: deletionFunc:%,panic: deletionFunc error
%panic: error adding clip:%,panic: error adding clip
%panic: ERROR: Failed to open bluetooth device%,panic: ERROR: Failed to open bluetooth device
%panic: ERROR: main processing hung%,panic: ERROR: main processing hung
%panic: error mounting drive:all drives failed to mount%,panic: error mounting drive:all drives failed to mount
%panic: ERROR: widget%,panic: ERROR: widget
%panic: Failed to init cellular manager: qmi client send msg failed%,panic: Failed to init cellular manager: qmi client send msg failed
%panic: Failed to init cellular manager: qmi init failed%,panic: Failed to init cellular manager: qmi init failed
%panic: Failed to init cellular manager: QMI response not success%,panic: Failed to init cellular manager: QMI response not success
%panic: Failed to init cellular manager: Too many attempts to initialize sim selector%,panic: Failed to init cellular manager: Too many attempts to initialize sim selector
%panic: Failed to reset mdm9607 gps%,panic: Failed to reset mdm9607 gps
%panic: Failed to start mdm9607Gps loop%,panic: Failed to start mdm9607Gps loop
%panic: FinalizeCurrentClip error:%,panic: FinalizeCurrentClip error
%panic: Initial accel configure failed: Failed to read WHO_AM_I register%,panic: Initial accel configure failed: Failed to read WHO_AM_I register
%panic: Initial accel configure failed: Invalid variant found%,panic: Initial accel configure failed: Invalid variant found
%panic: Initial accel configure failed: % transport endpoint is not connected%,panic: Initial accel configure failed: transport endpoint is not connected
%panic: MCU manager watchdog timeout%,panic: MCU manager watchdog timeout
%panic: mdm9607 gps error ID%,panic: mdm9607 gps error
%panic: multi gpio write failed%,panic: multi gpio write failed
%panic: obd manager hung%,panic: obd manager hung
%panic: octo manager hung%,panic: octo manager hung
%panic: open % error%,panic: open error
%panic: proto: field %,panic: proto: field
%panic: QMI mdm9607 GPS manager watchdog timeout%,panic: QMI mdm9607 GPS manager watchdog timeout
%panic: Qualcomm SSC not receiving accel or gyro data%,panic: Qualcomm SSC not receiving accel or gyro data
%panic: readdirent%,panic: readdirent
%panic: rear camera frame watchdog%,panic: rear camera frame watchdog
%panic: Reconfigure failed%,panic: Reconfigure failed
%panic: recording done returned err%,panic: recording done returned err
%panic: relay manager watchdog timeout%,panic: relay manager watchdog timeout
%panic: runtime error: index out of range%,panic: runtime error: index out of range
%panic: runtime error: invalid memory address or nil pointer dereference%,panic: runtime error: invalid memory address or nil pointer dereference
%panic: runtime error: slice bounds out of range%,panic: runtime error: slice bounds out of range
%panic: serial shell manager watchdog timeout%,panic: serial shell manager watchdog timeout
%panic: service or subsystem unknown restarted%,panic: service or subsystem unknown restarted
%panic: Spoof entries changed!%,panic: Spoof entries changed!
%panic: timeout while trying to stop recording%,panic: timeout while trying to stop recording
%panic: too many tries%,panic: too many tries
%panic: unexpected EOF%,panic: unexpected EOF
%parseMCUMessage: unmarshalling %,parseMCUMessage: unmarshalling error
%Problem REBOOT_REASON_QUALCOMM_SSC_NO_ACCEL_GYRO_DATA resolved%,Problem REBOOT_REASON_QUALCOMM_SSC_NO_ACCEL_GYRO_DATA resolved
%ProblemType:REBOOT_REASON%,"Problem Resolved, REBOOT_REASON"
"%Received a setseq event from %, but it's not connected%","Received a setseq event, but it's not connected"
%reconfiguring after accel failure%,reconfiguring after accel failure
%ReportFirmwareMetric dropped metrics at shutdown%,ReportFirmwareMetric dropped metrics at shutdown
%ReportFirmwareMetric grpc call failed%,ReportFirmwareMetric grpc call failed
%resetting data call restored hub connectivity%,resetting data call restored hub connectivity
%resetting modem restored hub connectivity%,resetting modem restored hub connectivity
%Resetting USB due to dashcam in emergency downloader mode%,Resetting USB due to dashcam in emergency downloader mode
%Resetting USB due to missing dashcam%,Resetting USB due to missing dashcam
%SPI errors over 5 minutes > 0.5%,SPI errors over 5 minutes > 0.5
%thor hub checker%,thor usb hub checker
%wiphy_suspend%,wiphy_suspend
